gene_id	gene_name	gene_type	Chr	Strand
ENSG00000231747.1	ENSG00000231747	processed_pseudogene	chr2	-
ENSG00000309398.1	ENSG00000309398	lncRNA	chr2	+
ENSG00000237753.3	SLC20A1-DT	lncRNA	chr2	-
ENSG00000144136.11	SLC20A1	protein_coding	chr2	+
ENSG00000298853.1	ENSG00000298853	lncRNA	chr2	+
ENSG00000307698.1	ENSG00000307698	lncRNA	chr2	-
ENSG00000306594.1	ENSG00000306594	lncRNA	chr2	-
ENSG00000144130.12	NT5DC4	protein_coding	chr2	+
ENSG00000169607.13	CKAP2L	protein_coding	chr2	-
ENSG00000299339.1	ENSG00000299339	lncRNA	chr2	+
ENSG00000115008.6	IL1A	protein_coding	chr2	-
ENSG00000287937.2	ENSG00000287937	lncRNA	chr2	-
ENSG00000125538.12	IL1B	protein_coding	chr2	-
ENSG00000280228.1	AMANZI	TEC	chr2	+
ENSG00000180152.3	XIAPP3	processed_pseudogene	chr2	+
ENSG00000125571.10	IL37	protein_coding	chr2	+
ENSG00000227368.1	CDK8P2	processed_pseudogene	chr2	+
ENSG00000136688.11	IL36G	protein_coding	chr2	+
ENSG00000236124.1	HMGN2P23	processed_pseudogene	chr2	-
ENSG00000232090.2	POLR2DP1	processed_pseudogene	chr2	+
ENSG00000136694.9	IL36A	protein_coding	chr2	+
ENSG00000136696.11	IL36B	protein_coding	chr2	-
ENSG00000136695.15	IL36RN	protein_coding	chr2	+
ENSG00000136697.13	IL1F10	protein_coding	chr2	+
ENSG00000201805.1	RNU6-1180P	snRNA	chr2	+
ENSG00000136689.20	IL1RN	protein_coding	chr2	+
ENSG00000125637.16	PSD4	protein_coding	chr2	+
ENSG00000234174.2	ENSG00000234174	lncRNA	chr2	-
ENSG00000189223.16	PAX8-AS1	lncRNA	chr2	+
ENSG00000125618.18	PAX8	protein_coding	chr2	-
ENSG00000304529.1	ENSG00000304529	lncRNA	chr2	-
ENSG00000234997.4	LINC02966	lncRNA	chr2	+
ENSG00000289035.2	ENSG00000289035	lncRNA	chr2	-
ENSG00000231292.6	IGKV1OR2-108	IG_V_gene	chr2	+
ENSG00000272563.1	ENSG00000272563	lncRNA	chr2	+
ENSG00000136682.16	ZNG1B	protein_coding	chr2	+
ENSG00000304550.1	ENSG00000304550	lncRNA	chr2	-
ENSG00000184492.7	FOXD4L1	protein_coding	chr2	+
ENSG00000234148.4	LINC01961	lncRNA	chr2	+
ENSG00000231943.12	PGM5P4-AS1	lncRNA	chr2	-
ENSG00000226516.8	FAM138B	lncRNA	chr2	+
ENSG00000291134.1	ENSG00000291134	lncRNA	chr2	+
ENSG00000225398.3	PGM5P4	transcribed_unprocessed_pseudogene	chr2	+
ENSG00000304410.1	ENSG00000304410	lncRNA	chr2	-
ENSG00000287165.2	ENSG00000287165	lncRNA	chr2	-
ENSG00000293106.2	RPL23AP7	lncRNA	chr2	-
ENSG00000221055.1	MIR1302-3	miRNA	chr2	-
ENSG00000310523.1	ENSG00000310523	lncRNA	chr2	+
ENSG00000146556.17	WASH2P	transcribed_unprocessed_pseudogene	chr2	+
ENSG00000310539.1	DDX11L2	lncRNA	chr2	-
ENSG00000236397.3	DDX11L2	transcribed_unprocessed_pseudogene	chr2	-
ENSG00000304466.1	ENSG00000304466	lncRNA	chr2	+
ENSG00000279267.1	ENSG00000279267	TEC	chr2	-
ENSG00000240356.7	RPL23AP7	transcribed_processed_pseudogene	chr2	-
ENSG00000144134.19	RABL2A	protein_coding	chr2	+
ENSG00000144158.4	SNRPA1P1	processed_pseudogene	chr2	+
ENSG00000175509.8	ACRP1	transcribed_processed_pseudogene	chr2	-
ENSG00000227359.2	LINC02936	lncRNA	chr2	-
ENSG00000233479.1	ENSG00000233479	lncRNA	chr2	+
ENSG00000202427.1	RNU6-744P	snRNA	chr2	+
ENSG00000115084.15	SLC35F5	protein_coding	chr2	-
ENSG00000265429.3	MIR4782	miRNA	chr2	-
ENSG00000228857.4	ACTR3-AS1	lncRNA	chr2	-
ENSG00000115091.12	ACTR3	protein_coding	chr2	+
ENSG00000279957.1	ENSG00000279957	TEC	chr2	+
ENSG00000234199.4	LINC01191	lncRNA	chr2	+
ENSG00000307741.1	ENSG00000307741	lncRNA	chr2	-
ENSG00000212182.2	U3	snoRNA	chr2	-
ENSG00000296539.1	ENSG00000296539	lncRNA	chr2	-
ENSG00000286513.2	ENSG00000286513	lncRNA	chr2	-
ENSG00000304278.1	ENSG00000304278	lncRNA	chr2	+
ENSG00000231926.1	SEPHS1P7	processed_pseudogene	chr2	-
ENSG00000304303.1	ENSG00000304303	lncRNA	chr2	-
ENSG00000222923.1	RNU2-41P	snRNA	chr2	+
ENSG00000175497.17	DPP10	protein_coding	chr2	+
ENSG00000298528.1	ENSG00000298528	lncRNA	chr2	+
ENSG00000231538.2	DPP10-AS3	lncRNA	chr2	-
ENSG00000235717.1	DPP10-AS2	lncRNA	chr2	-
ENSG00000286776.1	ENSG00000286776	lncRNA	chr2	-
ENSG00000235026.9	DPP10-AS1	lncRNA	chr2	-
ENSG00000230391.1	RPSAP23	processed_pseudogene	chr2	+
ENSG00000305163.1	ENSG00000305163	lncRNA	chr2	-
ENSG00000287451.2	ENSG00000287451	lncRNA	chr2	-
ENSG00000294661.1	ENSG00000294661	lncRNA	chr2	+
ENSG00000310137.1	ENSG00000310137	lncRNA	chr2	+
ENSG00000297920.1	ENSG00000297920	lncRNA	chr2	+
ENSG00000271667.1	ENSG00000271667	processed_pseudogene	chr2	-
ENSG00000224869.1	ENSG00000224869	processed_pseudogene	chr2	-
ENSG00000226341.1	MTCYBP39	processed_pseudogene	chr2	+
ENSG00000235871.1	ENSG00000235871	processed_pseudogene	chr2	+
ENSG00000230158.1	MTND1P28	unprocessed_pseudogene	chr2	+
ENSG00000230950.1	MTND2P21	unprocessed_pseudogene	chr2	+
ENSG00000228898.1	MTCO1P43	unprocessed_pseudogene	chr2	+
ENSG00000310388.1	ENSG00000310388	lncRNA	chr2	-
ENSG00000239185.1	RNU7-190P	snRNA	chr2	-
ENSG00000227291.1	ENSG00000227291	processed_pseudogene	chr2	-
ENSG00000293739.1	ENSG00000293739	lncRNA	chr2	+
ENSG00000298065.1	ENSG00000298065	lncRNA	chr2	-
ENSG00000286370.2	ENSG00000286370	lncRNA	chr2	+
ENSG00000301790.1	ENSG00000301790	lncRNA	chr2	-
ENSG00000238207.3	ENSG00000238207	lncRNA	chr2	-
ENSG00000088205.13	DDX18	protein_coding	chr2	+
ENSG00000293870.1	ENSG00000293870	lncRNA	chr2	-
ENSG00000236255.3	ENSG00000236255	lncRNA	chr2	+
ENSG00000125631.8	HTR5BP	transcribed_unprocessed_pseudogene	chr2	+
ENSG00000290590.2	ENSG00000290590	lncRNA	chr2	+
ENSG00000125633.11	CCDC93	protein_coding	chr2	-
ENSG00000224967.1	ENSG00000224967	processed_pseudogene	chr2	-
ENSG00000235066.8	ENSG00000235066	lncRNA	chr2	+
ENSG00000272895.1	ENSG00000272895	lncRNA	chr2	+
ENSG00000304808.1	ENSG00000304808	lncRNA	chr2	+
ENSG00000279227.2	ENSG00000279227	TEC	chr2	+
ENSG00000243510.3	RN7SL111P	misc_RNA	chr2	+
ENSG00000297418.1	ENSG00000297418	lncRNA	chr2	-
ENSG00000125629.16	INSIG2	protein_coding	chr2	+
ENSG00000226856.10	THORLNC	lncRNA	chr2	-
ENSG00000304983.1	ENSG00000304983	lncRNA	chr2	+
ENSG00000305000.1	ENSG00000305000	lncRNA	chr2	+
ENSG00000294627.1	ENSG00000294627	lncRNA	chr2	-
ENSG00000258910.4	LINC01956	lncRNA	chr2	-
ENSG00000304859.1	ENSG00000304859	lncRNA	chr2	+
ENSG00000304839.1	ENSG00000304839	lncRNA	chr2	-
ENSG00000304815.1	ENSG00000304815	lncRNA	chr2	+
ENSG00000163064.7	EN1	protein_coding	chr2	-
ENSG00000305008.1	ENSG00000305008	lncRNA	chr2	-
ENSG00000298302.1	ENSG00000298302	lncRNA	chr2	-
ENSG00000019169.11	MARCO	protein_coding	chr2	+
ENSG00000259094.1	ENSG00000259094	lncRNA	chr2	-
ENSG00000308819.1	ENSG00000308819	lncRNA	chr2	+
ENSG00000144119.5	C1QL2	protein_coding	chr2	-
ENSG00000264833.1	RN7SL468P	misc_RNA	chr2	+
ENSG00000309841.1	ENSG00000309841	lncRNA	chr2	-
ENSG00000309858.1	ENSG00000309858	lncRNA	chr2	-
ENSG00000115107.20	STEAP3	protein_coding	chr2	+
ENSG00000229867.2	STEAP3-AS1	lncRNA	chr2	-
ENSG00000309372.1	ENSG00000309372	lncRNA	chr2	+
ENSG00000309392.1	ENSG00000309392	lncRNA	chr2	-
ENSG00000309410.1	ENSG00000309410	lncRNA	chr2	+
ENSG00000186132.15	C2orf76	protein_coding	chr2	-
ENSG00000155368.18	DBI	protein_coding	chr2	+
ENSG00000303406.1	ENSG00000303406	lncRNA	chr2	+
ENSG00000171227.7	TMEM37	protein_coding	chr2	+
ENSG00000080293.10	SCTR	protein_coding	chr2	-
ENSG00000231013.3	SCTR-AS1	lncRNA	chr2	+
ENSG00000163075.13	CFAP221	protein_coding	chr2	+
ENSG00000144120.13	TMEM177	protein_coding	chr2	+
ENSG00000309758.1	ENSG00000309758	lncRNA	chr2	-
ENSG00000309778.1	ENSG00000309778	lncRNA	chr2	+
ENSG00000229326.3	RPL17P15	processed_pseudogene	chr2	+
ENSG00000297359.1	ENSG00000297359	lncRNA	chr2	-
ENSG00000088179.9	PTPN4	protein_coding	chr2	+
ENSG00000233741.1	RPL27P7	processed_pseudogene	chr2	-
ENSG00000301351.1	ENSG00000301351	lncRNA	chr2	+
ENSG00000115109.14	EPB41L5	protein_coding	chr2	+
ENSG00000224789.2	ENSG00000224789	lncRNA	chr2	-
ENSG00000202046.1	Y_RNA	misc_RNA	chr2	+
ENSG00000236878.1	MTATP6P26	processed_pseudogene	chr2	+
ENSG00000227788.1	MTCO3P43	processed_pseudogene	chr2	+
ENSG00000233286.1	MTND3P10	processed_pseudogene	chr2	+
ENSG00000243104.1	MTND4LP14	processed_pseudogene	chr2	+
ENSG00000234065.2	MTND4P26	processed_pseudogene	chr2	+
ENSG00000223549.1	MTND5P28	processed_pseudogene	chr2	+
ENSG00000226479.4	TMEM185B	protein_coding	chr2	-
ENSG00000296271.1	ENSG00000296271	lncRNA	chr2	-
ENSG00000296287.1	ENSG00000296287	lncRNA	chr2	+
ENSG00000144118.14	RALB	protein_coding	chr2	+
ENSG00000294844.1	ENSG00000294844	lncRNA	chr2	-
ENSG00000289091.2	ENSG00000289091	lncRNA	chr2	-
ENSG00000294817.1	ENSG00000294817	lncRNA	chr2	-
ENSG00000294762.1	ENSG00000294762	lncRNA	chr2	-
ENSG00000235840.2	ENSG00000235840	lncRNA	chr2	+
ENSG00000163083.6	INHBB	protein_coding	chr2	+
ENSG00000295142.1	ENSG00000295142	lncRNA	chr2	+
ENSG00000308337.1	ENSG00000308337	lncRNA	chr2	+
ENSG00000280409.2	LINC01101	lncRNA	chr2	-
ENSG00000308744.1	ENSG00000308744	lncRNA	chr2	-
ENSG00000237614.3	ENSG00000237614	lncRNA	chr2	-
ENSG00000303222.1	ENSG00000303222	lncRNA	chr2	+
ENSG00000232140.3	ENSG00000232140	lncRNA	chr2	-
ENSG00000301755.1	ENSG00000301755	lncRNA	chr2	+
ENSG00000307314.1	ENSG00000307314	lncRNA	chr2	+
ENSG00000304145.1	ENSG00000304145	lncRNA	chr2	-
ENSG00000201006.1	Y_RNA	misc_RNA	chr2	+
ENSG00000229774.2	ENSG00000229774	lncRNA	chr2	-
ENSG00000303392.1	ENSG00000303392	lncRNA	chr2	+
ENSG00000074047.22	GLI2	protein_coding	chr2	+
ENSG00000271709.2	ENSG00000271709	lncRNA	chr2	-
ENSG00000295936.1	ENSG00000295936	lncRNA	chr2	-
ENSG00000295094.1	ENSG00000295094	lncRNA	chr2	-
ENSG00000201584.1	Y_RNA	misc_RNA	chr2	-
ENSG00000302305.1	ENSG00000302305	lncRNA	chr2	+
ENSG00000294614.1	ENSG00000294614	lncRNA	chr2	-
ENSG00000234455.2	ENSG00000234455	lncRNA	chr2	-
ENSG00000294877.1	ENSG00000294877	lncRNA	chr2	-
ENSG00000236145.1	ENSG00000236145	lncRNA	chr2	+
ENSG00000115112.8	TFCP2L1	protein_coding	chr2	-
ENSG00000232723.1	RPS17P7	processed_pseudogene	chr2	+
ENSG00000074054.21	CLASP1	protein_coding	chr2	-
ENSG00000265451.2	CLASP1-AS1	lncRNA	chr2	+
ENSG00000264229.2	RNU4ATAC	snRNA	chr2	+
ENSG00000302592.1	ENSG00000302592	lncRNA	chr2	+
ENSG00000222467.1	Y_RNA	misc_RNA	chr2	-
ENSG00000236859.9	NIFK-AS1	lncRNA	chr2	+
ENSG00000230993.1	RPL12P15	processed_pseudogene	chr2	-
ENSG00000304397.1	ENSG00000304397	lncRNA	chr2	-
ENSG00000279721.1	ENSG00000279721	TEC	chr2	+
ENSG00000213239.3	NPM1P32	processed_pseudogene	chr2	-
ENSG00000155438.12	NIFK	protein_coding	chr2	-
ENSG00000211460.12	TSN	protein_coding	chr2	+
ENSG00000270798.1	ENSG00000270798	processed_pseudogene	chr2	-
ENSG00000224655.8	LINC01823	lncRNA	chr2	+
ENSG00000286481.3	ENSG00000286481	lncRNA	chr2	+
ENSG00000303730.1	ENSG00000303730	lncRNA	chr2	-
ENSG00000307663.1	ENSG00000307663	lncRNA	chr2	+
ENSG00000306837.1	ENSG00000306837	lncRNA	chr2	-
ENSG00000287871.2	ENSG00000287871	lncRNA	chr2	-
ENSG00000304587.1	ENSG00000304587	lncRNA	chr2	+
ENSG00000305720.1	ENSG00000305720	lncRNA	chr2	+
ENSG00000300287.1	ENSG00000300287	lncRNA	chr2	-
ENSG00000295630.1	ENSG00000295630	lncRNA	chr2	-
ENSG00000308399.1	ENSG00000308399	lncRNA	chr2	+
ENSG00000237856.1	ENSG00000237856	lncRNA	chr2	+
ENSG00000232740.1	LINC01826	lncRNA	chr2	-
ENSG00000301882.1	ENSG00000301882	lncRNA	chr2	-
ENSG00000305007.1	ENSG00000305007	lncRNA	chr2	-
ENSG00000287854.2	ENSG00000287854	lncRNA	chr2	+
ENSG00000226708.1	ENSG00000226708	lncRNA	chr2	-
ENSG00000306432.1	ENSG00000306432	lncRNA	chr2	-
ENSG00000296963.1	ENSG00000296963	lncRNA	chr2	-
ENSG00000235640.1	ELOAP1	processed_pseudogene	chr2	+
ENSG00000300686.1	ENSG00000300686	lncRNA	chr2	-
ENSG00000227738.1	PSMD14P1	processed_pseudogene	chr2	+
ENSG00000279874.1	ENSG00000279874	TEC	chr2	-
ENSG00000223118.1	RN7SKP102	misc_RNA	chr2	-
ENSG00000300705.1	ENSG00000300705	lncRNA	chr2	+
ENSG00000228400.3	CNTNAP5-DT	lncRNA	chr2	-
ENSG00000155052.15	CNTNAP5	protein_coding	chr2	+
ENSG00000238046.1	MTND5P22	processed_pseudogene	chr2	-
ENSG00000286384.1	ENSG00000286384	lncRNA	chr2	-
ENSG00000270815.1	ENSG00000270815	processed_pseudogene	chr2	-
ENSG00000301904.1	ENSG00000301904	lncRNA	chr2	-
ENSG00000252674.1	RNA5SP102	rRNA_pseudogene	chr2	+
ENSG00000306940.1	ENSG00000306940	lncRNA	chr2	+
ENSG00000206726.1	RNU6-259P	snRNA	chr2	+
ENSG00000305229.1	ENSG00000305229	lncRNA	chr2	+
ENSG00000304319.1	ENSG00000304319	lncRNA	chr2	+
ENSG00000296933.1	ENSG00000296933	lncRNA	chr2	+
ENSG00000303452.1	ENSG00000303452	lncRNA	chr2	-
ENSG00000286206.2	ENSG00000286206	lncRNA	chr2	+
ENSG00000309054.1	ENSG00000309054	lncRNA	chr2	-
ENSG00000224410.1	ENSG00000224410	processed_pseudogene	chr2	+
ENSG00000290113.2	ENSG00000290113	lncRNA	chr2	-
ENSG00000226813.3	LINC01941	lncRNA	chr2	-
ENSG00000286515.1	ENSG00000286515	lncRNA	chr2	+
ENSG00000235774.3	ENSG00000235774	lncRNA	chr2	+
ENSG00000236655.1	SLC6A14P3	processed_pseudogene	chr2	-
ENSG00000213236.3	YWHAZP2	processed_pseudogene	chr2	-
ENSG00000288524.2	ENSG00000288524	lncRNA	chr2	-
ENSG00000136732.16	GYPC	protein_coding	chr2	+
ENSG00000235128.1	ENSG00000235128	processed_pseudogene	chr2	+
ENSG00000206963.1	RNU6-675P	snRNA	chr2	-
ENSG00000301329.1	ENSG00000301329	lncRNA	chr2	+
ENSG00000309734.1	ENSG00000309734	lncRNA	chr2	-
ENSG00000237524.11	TEX51	protein_coding	chr2	+
ENSG00000238788.1	RNU7-182P	snRNA	chr2	+
ENSG00000260634.3	ENSG00000260634	lncRNA	chr2	-
ENSG00000286971.2	ENSG00000286971	lncRNA	chr2	+
ENSG00000136717.15	BIN1	protein_coding	chr2	-
ENSG00000294899.1	ENSG00000294899	lncRNA	chr2	+
ENSG00000286400.1	ENSG00000286400	lncRNA	chr2	-
ENSG00000237630.1	NIFKP9	processed_pseudogene	chr2	+
ENSG00000186684.14	CYP27C1	protein_coding	chr2	-
ENSG00000307844.1	ENSG00000307844	lncRNA	chr2	+
ENSG00000226789.1	WBP11P2	processed_pseudogene	chr2	+
ENSG00000163161.14	ERCC3	protein_coding	chr2	-
ENSG00000286145.3	ENSG00000286145	lncRNA	chr2	+
ENSG00000169967.17	MAP3K2	protein_coding	chr2	-
ENSG00000200250.1	RNU6-1147P	snRNA	chr2	+
ENSG00000236682.5	MAP3K2-DT	lncRNA	chr2	+
ENSG00000287742.2	ENSG00000287742	lncRNA	chr2	-
ENSG00000115718.18	PROC	protein_coding	chr2	+
ENSG00000264075.1	MIR4783	miRNA	chr2	-
ENSG00000163166.15	IWS1	protein_coding	chr2	-
ENSG00000231731.7	ENSG00000231731	lncRNA	chr2	+
ENSG00000202429.1	RNU4-48P	snRNA	chr2	+
ENSG00000299348.1	ENSG00000299348	lncRNA	chr2	-
ENSG00000169994.20	MYO7B	protein_coding	chr2	+
ENSG00000272789.1	ENSG00000272789	lncRNA	chr2	-
ENSG00000072163.20	LIMS2	protein_coding	chr2	-
ENSG00000144230.17	GPR17	protein_coding	chr2	+
ENSG00000293688.1	ENSG00000293688	lncRNA	chr2	-
ENSG00000302152.1	ENSG00000302152	lncRNA	chr2	-
ENSG00000136709.12	WDR33	protein_coding	chr2	-
ENSG00000173349.6	SFT2D3	protein_coding	chr2	+
ENSG00000201470.1	RNY4P7	misc_RNA	chr2	-
ENSG00000308747.1	ENSG00000308747	lncRNA	chr2	+
ENSG00000200390.1	Y_RNA	misc_RNA	chr2	-
ENSG00000274010.1	ZFP91P1	processed_pseudogene	chr2	-
ENSG00000144231.11	POLR2D	protein_coding	chr2	-
ENSG00000202532.1	RNU6-395P	snRNA	chr2	+
ENSG00000244563.1	RPS26P19	processed_pseudogene	chr2	-
ENSG00000273950.1	Metazoa_SRP	misc_RNA	chr2	+
ENSG00000144233.12	AMMECR1L	protein_coding	chr2	-
ENSG00000286873.2	ENSG00000286873	lncRNA	chr2	+
ENSG00000272667.1	ENSG00000272667	lncRNA	chr2	+
ENSG00000204399.3	ENSG00000204399	processed_pseudogene	chr2	+
ENSG00000136715.19	SAP130	protein_coding	chr2	-
ENSG00000234044.1	ENSG00000234044	processed_pseudogene	chr2	+
ENSG00000200432.1	Y_RNA	misc_RNA	chr2	+
ENSG00000289982.2	ENSG00000289982	lncRNA	chr2	-
ENSG00000136731.13	UGGT1	protein_coding	chr2	+
ENSG00000229173.1	SRMP3	processed_pseudogene	chr2	-
ENSG00000232101.1	ENSG00000232101	processed_pseudogene	chr2	-
ENSG00000229758.2	DYNLT3P2	processed_pseudogene	chr2	+
ENSG00000185631.7	RPL14P6	processed_pseudogene	chr2	+
ENSG00000238180.1	RPL21P34	processed_pseudogene	chr2	+
ENSG00000136720.7	HS6ST1	protein_coding	chr2	-
ENSG00000301826.1	ENSG00000301826	lncRNA	chr2	+
ENSG00000252742.1	Y_RNA	misc_RNA	chr2	-
ENSG00000310364.1	ENSG00000310364	lncRNA	chr2	+
ENSG00000307293.1	ENSG00000307293	lncRNA	chr2	-
ENSG00000299974.1	ENSG00000299974	lncRNA	chr2	+
ENSG00000238379.1	RNA5SP103	rRNA_pseudogene	chr2	-
ENSG00000299995.1	ENSG00000299995	lncRNA	chr2	-
ENSG00000227653.1	ISCA1P6	processed_pseudogene	chr2	-
ENSG00000237532.1	ENSG00000237532	lncRNA	chr2	-
ENSG00000303857.1	ENSG00000303857	lncRNA	chr2	+
ENSG00000293708.1	ENSG00000293708	lncRNA	chr2	+
ENSG00000295469.1	ENSG00000295469	lncRNA	chr2	+
ENSG00000295488.1	ENSG00000295488	lncRNA	chr2	+
ENSG00000295505.1	ENSG00000295505	lncRNA	chr2	-
ENSG00000238277.2	ENSG00000238277	lncRNA	chr2	-
ENSG00000304843.1	ENSG00000304843	lncRNA	chr2	-
ENSG00000204460.3	LINC01854	lncRNA	chr2	-
ENSG00000299294.1	ENSG00000299294	lncRNA	chr2	+
ENSG00000299576.1	ENSG00000299576	lncRNA	chr2	-
ENSG00000300172.1	ENSG00000300172	lncRNA	chr2	+
ENSG00000289374.2	ENSG00000289374	lncRNA	chr2	-
ENSG00000233428.1	PPIAP65	processed_pseudogene	chr2	+
ENSG00000295763.1	ENSG00000295763	lncRNA	chr2	-
ENSG00000301285.1	ENSG00000301285	lncRNA	chr2	+
ENSG00000299679.1	ENSG00000299679	lncRNA	chr2	+
ENSG00000299698.1	ENSG00000299698	lncRNA	chr2	-
ENSG00000229536.4	LINC02572	lncRNA	chr2	-
ENSG00000286957.2	ENSG00000286957	lncRNA	chr2	+
ENSG00000291116.2	PLAC9P1	lncRNA	chr2	-
ENSG00000237574.2	LINC01856	lncRNA	chr2	+
ENSG00000214100.11	PLAC9P1	transcribed_unprocessed_pseudogene	chr2	-
ENSG00000234559.1	RPL22P7	processed_pseudogene	chr2	-
ENSG00000290615.2	RAB6C-AS1	lncRNA	chr2	-
ENSG00000225449.4	RAB6C-AS1	transcribed_unprocessed_pseudogene	chr2	-
ENSG00000222014.6	RAB6C	protein_coding	chr2	+
ENSG00000284619.1	ENSG00000284619	transcribed_unprocessed_pseudogene	chr2	-
ENSG00000286058.3	ENSG00000286058	lncRNA	chr2	-
ENSG00000250207.1	ENSG00000250207	unprocessed_pseudogene	chr2	-
ENSG00000217289.3	SSBP3P6	processed_pseudogene	chr2	+
ENSG00000231147.2	ARHGAP42P2	unprocessed_pseudogene	chr2	+
ENSG00000180178.12	FAR2P1	transcribed_unprocessed_pseudogene	chr2	-
ENSG00000231240.1	KLF2P1	transcribed_processed_pseudogene	chr2	+
ENSG00000296048.1	ENSG00000296048	lncRNA	chr2	+
ENSG00000248313.1	CYP4F27P	transcribed_unprocessed_pseudogene	chr2	-
ENSG00000196604.13	POTEF	protein_coding	chr2	-
ENSG00000228471.1	ENSG00000228471	processed_pseudogene	chr2	-
ENSG00000224087.1	POTEF-AS1	lncRNA	chr2	+
ENSG00000252223.1	RNU6-1049P	snRNA	chr2	-
ENSG00000290707.2	MED15P9	lncRNA	chr2	+
ENSG00000223760.5	MED15P9	transcribed_unprocessed_pseudogene	chr2	+
ENSG00000152076.19	CCDC74B	protein_coding	chr2	-
ENSG00000136699.20	SMPD4	protein_coding	chr2	-
ENSG00000152082.15	MZT2B	protein_coding	chr2	+
ENSG00000152086.9	TUBA3E	protein_coding	chr2	-
ENSG00000227632.2	ENSG00000227632	transcribed_unprocessed_pseudogene	chr2	+
ENSG00000299827.1	ENSG00000299827	lncRNA	chr2	+
ENSG00000230756.1	RHOQP3	processed_pseudogene	chr2	-
ENSG00000213225.8	NOC2LP1	transcribed_processed_pseudogene	chr2	+
ENSG00000293150.1	ENSG00000293150	lncRNA	chr2	+
ENSG00000234398.1	ENSG00000234398	unprocessed_pseudogene	chr2	+
ENSG00000236595.1	MED15P5	processed_pseudogene	chr2	+
ENSG00000237722.2	MTND1P29	unprocessed_pseudogene	chr2	+
ENSG00000231954.1	MTND2P22	unprocessed_pseudogene	chr2	+
ENSG00000236211.1	MTCO1P7	unprocessed_pseudogene	chr2	+
ENSG00000230496.1	MTCO2P7	unprocessed_pseudogene	chr2	+
ENSG00000232990.2	MTATP6P7	unprocessed_pseudogene	chr2	+
ENSG00000249997.1	MTCO3P7	unprocessed_pseudogene	chr2	+
ENSG00000283940.1	MTND3P15	unprocessed_pseudogene	chr2	+
ENSG00000284171.1	ENSG00000284171	unprocessed_pseudogene	chr2	+
ENSG00000230548.1	MTND4P27	unprocessed_pseudogene	chr2	+
ENSG00000234934.1	MTND5P29	unprocessed_pseudogene	chr2	+
ENSG00000248136.1	MTND6P8	unprocessed_pseudogene	chr2	-
ENSG00000233550.1	MTCYBP8	unprocessed_pseudogene	chr2	+
ENSG00000226915.1	RPL19P4	processed_pseudogene	chr2	+
ENSG00000271435.1	TEKT4P3	processed_pseudogene	chr2	-
ENSG00000224352.1	ENSG00000224352	unprocessed_pseudogene	chr2	-
ENSG00000136710.10	CCDC115	protein_coding	chr2	-
ENSG00000136718.10	IMP4	protein_coding	chr2	+
ENSG00000072135.13	PTPN18	protein_coding	chr2	+
ENSG00000310390.1	ENSG00000310390	lncRNA	chr2	-
ENSG00000307164.1	ENSG00000307164	lncRNA	chr2	+
ENSG00000290596.2	FAR2P2	lncRNA	chr2	-
ENSG00000178162.9	FAR2P2	transcribed_unprocessed_pseudogene	chr2	-
ENSG00000297512.1	ENSG00000297512	lncRNA	chr2	+
ENSG00000230646.1	KLF2P2	transcribed_processed_pseudogene	chr2	+
ENSG00000290599.1	ENSG00000290599	lncRNA	chr2	-
ENSG00000239402.4	CYP4F62P	transcribed_unprocessed_pseudogene	chr2	-
ENSG00000196834.14	POTEI	protein_coding	chr2	-
ENSG00000251973.1	RNU6-473P	snRNA	chr2	-
ENSG00000225819.1	ENSG00000225819	lncRNA	chr2	-
ENSG00000274711.1	Metazoa_SRP	misc_RNA	chr2	-
ENSG00000152093.8	CFC1B	protein_coding	chr2	+
ENSG00000225341.1	ENSG00000225341	lncRNA	chr2	+
ENSG00000290610.1	PRSS40B	lncRNA	chr2	-
ENSG00000184761.9	PRSS40B	transcribed_unprocessed_pseudogene	chr2	-
ENSG00000290614.1	PRSS40A	lncRNA	chr2	+
ENSG00000183292.14	PRSS40A	transcribed_unprocessed_pseudogene	chr2	+
ENSG00000232408.1	ENSG00000232408	lncRNA	chr2	-
ENSG00000296239.1	ENSG00000296239	lncRNA	chr2	+
ENSG00000136698.10	CFC1	protein_coding	chr2	-
ENSG00000296255.1	ENSG00000296255	lncRNA	chr2	+
ENSG00000277668.1	Metazoa_SRP	misc_RNA	chr2	+
ENSG00000222038.4	POTEJ	protein_coding	chr2	+
ENSG00000251757.1	RNU6-848P	snRNA	chr2	+
ENSG00000282944.2	CYP4F30P	lncRNA	chr2	+
ENSG00000214081.9	CYP4F30P	transcribed_unprocessed_pseudogene	chr2	+
ENSG00000240253.7	FAR2P3	transcribed_unprocessed_pseudogene	chr2	+
ENSG00000223349.1	KLF2P3	processed_pseudogene	chr2	-
ENSG00000290700.2	ENSG00000290700	lncRNA	chr2	+
ENSG00000173302.5	GPR148	protein_coding	chr2	+
ENSG00000229797.3	ENSG00000229797	lncRNA	chr2	-
ENSG00000178171.12	AMER3	protein_coding	chr2	+
ENSG00000232503.1	CYCSP8	processed_pseudogene	chr2	+
ENSG00000297211.1	ENSG00000297211	lncRNA	chr2	-
ENSG00000303210.1	ENSG00000303210	lncRNA	chr2	+
ENSG00000294249.1	ENSG00000294249	lncRNA	chr2	-
ENSG00000233221.7	ARHGEF4-AS1	lncRNA	chr2	-
ENSG00000136002.21	ARHGEF4	protein_coding	chr2	+
